Date,EEM,Gold,FTSE100,S&P500,Nikkei225,UST10Y
2010-01-04,30.785858154296875,109.80000305175781,5500.2998046875,1132.989990234375,10654.7900390625,3.8410000801086426
2010-01-05,31.009305953979492,109.69999694824219,5522.5,1136.52001953125,10681.830078125,3.755000114440918
2010-01-06,31.074186325073242,111.51000213623047,5530.0,1137.1400146484375,10731.4501953125,3.808000087738037
2010-01-07,30.89397430419922,110.81999969482422,5526.7001953125,1141.68994140625,10681.66015625,3.822000026702881
2010-01-08,31.139062881469727,111.37000274658203,5534.2001953125,1144.97998046875,10798.3203125,3.808000087738037
2010-01-12,30.576818466186523,110.48999786376953,5498.7001953125,1136.219970703125,10879.1396484375,3.7190001010894775
2010-01-13,30.670534133911133,111.54000091552734,5473.5,1145.6800537109375,10735.0302734375,3.7829999923706055
2010-01-14,30.591238021850586,112.02999877929688,5498.2001953125,1148.4599609375,10907.6796875,3.7339999675750732
2010-01-15,30.2380428314209,110.86000061035156,5455.39990234375,1136.030029296875,10982.099609375,3.6760001182556152
2010-01-19,30.85073471069336,111.5199966430664,5513.10009765625,1150.22998046875,10764.900390625,3.7070000171661377
2010-01-20,30.108301162719727,108.94000244140625,5420.7998046875,1138.0400390625,10737.51953125,3.6589999198913574
2010-01-21,29.200071334838867,107.37000274658203,5335.10009765625,1116.47998046875,10868.41015625,3.6110000610351562
2010-01-22,28.55133819580078,107.16999816894531,5303.0,1091.760009765625,10590.5498046875,3.5980000495910645
2010-01-25,28.760377883911133,107.4800033569336,5260.2998046875,1096.780029296875,10512.6904296875,3.630000114440918
2010-01-26,28.162111282348633,107.55999755859375,5276.89990234375,1092.1700439453125,10325.2802734375,3.630000114440918
2010-01-27,28.09001922607422,106.52999877929688,5217.5,1097.5,10252.080078125,3.6440000534057617
2010-01-28,27.89540672302246,106.4800033569336,5145.7001953125,1084.530029296875,10414.2900390625,3.6579999923706055
2010-01-29,27.592668533325195,105.95999908447266,5188.5,1073.8699951171875,10198.0400390625,3.6089999675750732
2010-02-01,28.335100173950195,108.3499984741211,5247.39990234375,1089.18994140625,10205.01953125,3.6540000438690186
2010-02-02,28.565753936767578,109.12999725341797,5283.2998046875,1103.3199462890625,10371.08984375,3.634999990463257
2010-02-03,28.39997673034668,108.69999694824219,5253.2001953125,1097.280029296875,10404.330078125,3.703000068664551
2010-02-04,27.116924285888672,104.37000274658203,5139.2998046875,1063.1099853515625,10355.98046875,3.609999895095825
2010-02-05,26.814184188842773,104.68000030517578,5060.89990234375,1066.18994140625,10057.08984375,3.5460000038146973
2010-02-08,26.547483444213867,104.04000091552734,5092.2998046875,1056.739990234375,9951.8203125,3.5920000076293945
2010-02-09,27.41246223449707,105.41000366210938,5111.7998046875,1070.52001953125,9932.900390625,3.632999897003174
2010-02-10,27.340377807617188,105.12000274658203,5132.0,1068.1300048828125,9963.990234375,3.694000005722046
2010-02-12,27.707983016967773,107.04000091552734,5142.5,1075.510009765625,10092.1904296875,3.693000078201294
2010-02-16,28.421592712402344,109.62000274658203,5244.10009765625,1094.8699951171875,10034.25,3.6640000343322754
2010-02-17,28.52250099182129,109.25,5276.60009765625,1099.510009765625,10306.830078125,3.742000102996826
2010-02-18,28.630630493164062,109.9800033569336,5325.10009765625,1106.75,10335.6904296875,3.802999973297119
2010-02-19,28.385557174682617,109.47000122070312,5358.2001953125,1109.1700439453125,10123.580078125,3.7820000648498535
2010-02-22,28.421592712402344,109.06999969482422,5352.10009765625,1108.010009765625,10400.4697265625,3.7990000247955322
2010-02-23,27.765653610229492,107.88999938964844,5315.10009765625,1094.5999755859375,10352.099609375,3.690999984741211
2010-02-24,28.03235626220703,107.36000061035156,5342.89990234375,1105.239990234375,10198.830078125,3.694999933242798
2010-02-25,27.80169105529785,108.30999755859375,5278.2001953125,1102.93994140625,10101.9599609375,3.6419999599456787
2010-02-26,28.082815170288086,109.43000030517578,5354.5,1104.489990234375,10126.0302734375,3.5950000286102295
2010-03-01,28.558555603027344,109.43000030517578,5405.89990234375,1115.7099609375,10172.0595703125,3.6059999465942383
2010-03-02,28.88292121887207,111.0199966430664,5484.10009765625,1118.31005859375,10221.83984375,3.614000082015991
2010-03-03,28.918954849243164,111.62999725341797,5533.2001953125,1118.7900390625,10253.1396484375,3.625
2010-03-04,28.767587661743164,110.83000183105469,5527.2001953125,1122.969970703125,10145.7197265625,3.6059999465942383
2010-03-05,29.51722526550293,110.80999755859375,5599.7998046875,1138.699951171875,10368.9599609375,3.681999921798706
2010-03-08,29.538848876953125,109.87999725341797,5606.7001953125,1138.5,10585.919921875,3.7079999446868896
2010-03-09,29.70463752746582,109.72000122070312,5602.2998046875,1140.449951171875,10567.650390625,3.7009999752044678
2010-03-10,29.913677215576172,108.47000122070312,5640.60009765625,1145.6099853515625,10563.919921875,3.7200000286102295
2010-03-11,29.92087745666504,108.5999984741211,5617.2998046875,1150.239990234375,10664.9501953125,3.7200000286102295
2010-03-12,29.81997299194336,107.94999694824219,5625.7001953125,1149.989990234375,10751.259765625,3.7100000381469727
2010-03-15,29.603729248046875,108.36000061035156,5593.89990234375,1150.510009765625,10751.98046875,3.7039999961853027
2010-03-16,29.985754013061523,110.4000015258789,5620.39990234375,1159.4599609375,10721.7099609375,3.6530001163482666
2010-03-17,30.31011390686035,109.58999633789062,5644.60009765625,1166.2099609375,10846.98046875,3.6419999599456787
2010-03-18,30.0794620513916,110.33999633789062,5642.60009765625,1165.8299560546875,10744.0302734375,3.671999931335449
