Price,S&P500,FTSE100,Nikkei225,EEM,Gold,UST10Y
Ticker,^GSPC,^FTSE,^N225,EEM,GLD,^TNX
Date,,,,,,
2010-01-04,1132.989990234375,5500.2998046875,10654.7900390625,30.785858154296875,109.80000305175781,3.8410000801086426
2010-01-05,1136.52001953125,5522.5,10681.830078125,31.009305953979492,109.69999694824219,3.755000114440918
2010-01-06,1137.1400146484375,5530.0,10731.4501953125,31.074186325073242,111.51000213623047,3.808000087738037
2010-01-07,1141.68994140625,5526.7001953125,10681.66015625,30.89397430419922,110.81999969482422,3.822000026702881
2010-01-08,1144.97998046875,5534.2001953125,10798.3203125,31.139062881469727,111.37000274658203,3.808000087738037
2010-01-12,1136.219970703125,5498.7001953125,10879.1396484375,30.576818466186523,110.48999786376953,3.7190001010894775
2010-01-13,1145.6800537109375,5473.5,10735.0302734375,30.670534133911133,111.54000091552734,3.7829999923706055
2010-01-14,1148.4599609375,5498.2001953125,10907.6796875,30.591238021850586,112.02999877929688,3.7339999675750732
2010-01-15,1136.030029296875,5455.39990234375,10982.099609375,30.2380428314209,110.86000061035156,3.6760001182556152
2010-01-19,1150.22998046875,5513.10009765625,10764.900390625,30.85073471069336,111.5199966430664,3.7070000171661377
2010-01-20,1138.0400390625,5420.7998046875,10737.51953125,30.108301162719727,108.94000244140625,3.6589999198913574
2010-01-21,1116.47998046875,5335.10009765625,10868.41015625,29.200071334838867,107.37000274658203,3.6110000610351562
2010-01-22,1091.760009765625,5303.0,10590.5498046875,28.55133819580078,107.16999816894531,3.5980000495910645
2010-01-25,1096.780029296875,5260.2998046875,10512.6904296875,28.760377883911133,107.4800033569336,3.630000114440918
2010-01-26,1092.1700439453125,5276.89990234375,10325.2802734375,28.162111282348633,107.55999755859375,3.630000114440918
2010-01-27,1097.5,5217.5,10252.080078125,28.09001922607422,106.52999877929688,3.6440000534057617
2010-01-28,1084.530029296875,5145.7001953125,10414.2900390625,27.89540672302246,106.4800033569336,3.6579999923706055
