Date,EEM_log_ret,Gold_log_ret,FTSE100_log_ret,S&P500_log_ret,Nikkei225_log_ret,UST10Y_log_ret,EEM_vol_30d,Gold_vol_30d,FTSE100_vol_30d,S&P500_vol_30d,Nikkei225_vol_30d,UST10Y_vol_30d,EEM_zscore,Gold_zscore,FTSE100_zscore,S&P500_zscore,Nikkei225_zscore,UST10Y_zscore,EEM_sma5,Gold_sma5,FTSE100_sma5,S&P500_sma5,Nikkei225_sma5,UST10Y_sma5,EEM_macd,Gold_macd,FTSE100_macd,S&P500_macd,Nikkei225_macd,UST10Y_macd,EEM_vol_spike,Gold_vol_spike,FTSE100_vol_spike,S&P500_vol_spike,Nikkei225_vol_spike,UST10Y_vol_spike,covid_flag
2010-02-19,-0.0085966753585216,-0.0046480113353011,0.006196625137124,0.002184234863591,-0.0207356319429501,-0.0055372345413529,0.0172732143153457,0.0130654984874926,0.0098794368968268,0.0114427905529357,0.0138719386792536,0.0138621818550208,-0.2390829561866242,-0.2571664618461797,0.6703052442741384,0.3043919251438756,-1.202540571141621,-0.4914222184060361,28.333652877807616,109.07200164794922,5269.30009765625,1097.16201171875,10178.508203125,3.7368000507354737,-0.4438903043427373,-0.1039112868205762,-36.46334791269055,-6.670687634460819,-124.2953912080211,0.0021427026286362,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-02-22,0.0012686974306896,-0.0036606751248241,-0.0011391087362625,-0.0010464051249203,0.0269836071823619,0.0044848933491069,0.0171890168696841,0.0130810164988202,0.0098360013619384,0.011420095591457,0.0148156648478822,0.0132397639649347,0.2132841719369652,-0.2708526348408959,-0.0497274419792159,0.0178770748475008,1.760862194246387,0.2102200233748599,28.47637481689453,109.4780014038086,5311.2201171875,1103.66201171875,10240.1640625,3.758000040054321,-0.3876671519891737,-0.0077996620976961,-25.078144173438886,-4.880199402901553,-98.81016203638684,0.0097474993939754,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-02-23,-0.0233493878415953,-0.0108776912365871,-0.0069371808358761,-0.0121766449451987,-0.004661611195913,-0.0288404608185373,0.0175576650544673,0.0128352832046348,0.0098826207822915,0.0116013822287803,0.0147933373720545,0.0140084208196383,-1.1422478721908036,-0.8195328932893368,-0.6613973489890537,-0.9137606711959454,-0.1474984708262776,-2.114888506940953,28.34518699645996,109.13200073242189,5325.4201171875,1103.6080078125,10303.733984375,3.763400030136109,-0.3915254407517174,-0.0265407250542324,-18.823888888573492,-4.491526741194548,-81.57564525833914,0.0069792030730964,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-02-24,0.0095596485852381,-0.0049245049976189,0.0052167137798898,0.0096735196971898,-0.0149163444582431,0.0010831164194544,0.0177190260169506,0.0128198132924256,0.009954054260908,0.0117358337397637,0.0149932962362104,0.0139863749160099,0.5823351808791807,-0.3684661534487323,0.4768779592130858,0.7930923872590282,-0.8607726070793706,-0.013034967133025,28.24715805053711,108.7540008544922,5338.680078125,1104.75400390625,10282.133984375,3.7539999961853026,-0.3688110629492129,-0.0832005405332694,-11.491665839735106,-3.287049535808819,-79.36981101333367,0.0050498590773995,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-02-25,-0.0082625756249331,0.0088097843982684,-0.01218339093745,-0.0020832085528651,-0.0095435549296023,-0.0144475660257387,0.0176139884381276,0.0129012791987492,0.0101427207795458,0.0117130520981973,0.014873550927783,0.0141908832110622,-0.3717591038687293,0.6156045104222928,-1.187296068502757,-0.205477293370273,-0.5000201582432858,-1.0158193883725322,28.081370162963868,108.4199996948242,5329.30009765625,1103.9919921875,10235.387890625,3.7217999935150146,-0.3652125662140868,-0.0508607472108195,-10.777317677585415,-2.489391238267899,-84.46462474501459,-0.000747201570594,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-02-26,0.0100609813106946,0.0102876149123949,0.0143521613506278,0.0014043925568579,0.0023799026578681,-0.0129889711761751,0.0175711674897111,0.0129887557398085,0.0105031548574937,0.0116583009160069,0.0147882716697027,0.0137431688816875,0.5833106725957447,0.6817578601698288,1.260247305693318,0.0763912971547868,0.2226104864544017,-0.8544861649526705,28.02082176208496,108.41199951171876,5328.56005859375,1103.0559814453125,10235.8779296875,3.6843999862670898,-0.3358054092718028,0.0644012558000497,-4.008230650373662,-1.7124255289679695,-85.57358921006562,-0.0090298253577976,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-03-01,0.0167987325842586,0.0,0.0095536027943963,0.0101072574236037,0.0045353406284584,0.0030551108395261,0.0179059818579633,0.0128573151134372,0.0106475429696296,0.0117124904650531,0.014691853051812,0.0133356712712595,0.8969532329642661,-0.0934829982344679,0.7394876040774108,0.8073881416252542,0.3308921135004034,0.2426086530888101,28.04821434020996,108.48399963378908,5339.32001953125,1104.5959716796874,10190.1958984375,3.645799970626831,-0.2709879679244693,0.1539723264689598,5.441140063900093,-0.1891364923271794,-81.79538567316558,-0.0145386701911234,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-03-02,0.0112938970784606,0.0144252568056901,0.0143620825528483,0.0023277310028862,0.0048818885779368,0.0022161048931265,0.0180789064277276,0.0131205339870835,0.0109523414643025,0.0117115711687428,0.0143660154497956,0.0131742639388908,0.5384314071280522,0.8903142767225921,1.0944489971913525,0.0775727989016181,0.3998557675635981,0.1908570257943951,28.271667861938475,109.10999908447266,5373.12001953125,1109.33798828125,10164.1439453125,3.630399990081787,-0.1912415705288346,0.3492317355544543,19.02067811210418,1.213894178386454,-73.9320376059568,-0.0180508464207278,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-03-03,0.0012467981141823,0.0054794713974865,0.0089133311107754,0.0004291095214003,0.003057373423086,0.0030390734426361,0.0179933009369717,0.0130162316650683,0.0109710760529979,0.0115597782926756,0.0143015979202224,0.0129008139234783,-0.0559672851173981,0.2156726699348169,0.5642551793519108,-0.1399368562246413,0.204567984184534,0.1971971054149076,28.448987579345705,109.96399841308592,5411.180078125,1112.047998046875,10175.005859375,3.616400003433227,-0.1237083305963437,0.5468939225804945,33.35997436618527,2.337590220716038,-64.43191395878966,-0.0197193574574972,0.0,0.0,0.0,0.0,0.0,0.0,0
2010-03-04,-0.0052479323013237,-0.0071922941134518,-0.0010849517877573,0.0037291560795713,-0.0105320511165116,-0.0052551783357627,0.0175357288128136,0.0130384776344745,0.0108079142716185,0.0113311310151318,0.0139996267726757,0.0128179091628798,-0.3548629279198794,-0.623221311594948,-0.3479307726491799,0.2161278180652676,-0.7382139404345947,-0.3278438423462049,28.642166900634766,110.46799926757812,5460.980078125,1116.05400390625,10183.7578125,3.609200000762939,-0.0814627663404436,0.6317077514000715,43.73566260666303,3.524781493352293,-64.82364089238945,-0.0223175472029186,0.0,0.0,0.0,0.0,0.0,0.0,0
