,accuracy,loss,val_accuracy,val_loss
0,0.5006846189498901,0.7663171291351318,0.5310218930244446,0.7084256410598755
1,0.4901871383190155,0.7877865433692932,0.5,0.7296429872512817
2,0.500228226184845,0.7180787920951843,0.4927007257938385,0.6925400495529175
3,0.5020538568496704,0.7232823967933655,0.4945255517959595,0.7316616177558899
4,0.4837973415851593,0.730575442314148,0.49635037779808044,0.6923024654388428
5,0.5093564391136169,0.706537663936615,0.5182482004165649,0.7004920840263367
6,0.4942948520183563,0.7213788628578186,0.5127737522125244,0.6920729875564575
7,0.5139206051826477,0.7098910808563232,0.5164233446121216,0.6924952268600464
8,0.4965769052505493,0.713230550289154,0.5200729966163635,0.7019565105438232
9,0.5070744156837463,0.7013109922409058,0.529197096824646,0.6910499334335327
10,0.5034230947494507,0.7010237574577332,0.5419707894325256,0.6906634569168091
11,0.5098128914833069,0.694666862487793,0.5164233446121216,0.6903367042541504
12,0.5070744156837463,0.6974149346351624,0.5200729966163635,0.6923783421516418
13,0.49931538105010986,0.7004547715187073,0.5273722410202026,0.6899640560150146
14,0.510269284248352,0.7000173926353455,0.4835766553878784,0.696114718914032
15,0.504792332649231,0.6996398568153381,0.49817517399787903,0.6927139759063721
16,0.5244180560112,0.7006644010543823,0.5456204414367676,0.6913087964057922
17,0.4997718036174774,0.6984444260597229,0.5492700934410095,0.6900894641876221
18,0.5025102496147156,0.7000147700309753,0.5456204414367676,0.691062867641449
19,0.49520766735076904,0.6991757154464722,0.510948896408081,0.6936687231063843
20,0.5015974640846252,0.6996963620185852,0.5456204414367676,0.6901057362556458
21,0.5011410117149353,0.7027150988578796,0.5456204414367676,0.6906508207321167
22,0.4910999536514282,0.7038895487785339,0.5127737522125244,0.6908676624298096
23,0.5034230947494507,0.6999006867408752,0.5456204414367676,0.6908836960792542
