,loss,mae,val_loss,val_mae
0,0.3339506983757019,0.42220473289489746,0.015136864967644215,0.10415952652692795
1,0.1288241147994995,0.2797892391681671,0.0004475500318221748,0.015459509566426277
2,0.10741360485553741,0.2542553246021271,0.0026985916774719954,0.03952084481716156
3,0.08859927207231522,0.230139821767807,0.0016417825827375054,0.032949019223451614
4,0.07566861808300018,0.2130521535873413,0.0033069150522351265,0.05318291112780571
5,0.07577694207429886,0.21186010539531708,0.0021877377294003963,0.042163945734500885
6,0.06262766569852829,0.1948743313550949,0.0008545970777049661,0.023576123639941216
7,0.0610058568418026,0.1897205263376236,0.00118350051343441,0.030942732468247414
8,0.06419818848371506,0.1924048215150833,0.00040998871554620564,0.014845509082078934
9,0.06300385296344757,0.19211308658123016,0.00507210660725832,0.06926782429218292
10,0.0476817712187767,0.1695009022951126,0.0013165458803996444,0.029358606785535812
11,0.04282762482762337,0.1592903584241867,0.0035267991479486227,0.053984783589839935
12,0.0398285910487175,0.15402396023273468,0.0010319782886654139,0.026691032573580742
13,0.03471636399626732,0.1415807008743286,0.0014235160779207945,0.03142845630645752
14,0.03665366396307945,0.14545157551765442,0.0003651232400443405,0.015117996372282505
15,0.030430158600211143,0.13289998471736908,0.0002913344360422343,0.01221731398254633
16,0.028832346200942993,0.12920278310775757,0.0007303818711079657,0.024274785071611404
17,0.023896150290966034,0.11755404621362686,0.0003145012306049466,0.013151273131370544
18,0.018812259659171104,0.10408009588718414,0.0007004438084550202,0.023471325635910034
19,0.0171210840344429,0.09820186346769333,0.00044942033127881587,0.017245283350348473
20,0.01599922962486744,0.09628783166408539,0.0003675992484204471,0.016520727425813675
21,0.013711962848901749,0.08909470587968826,0.0004395373398438096,0.018403055146336555
22,0.01173623651266098,0.08360900729894638,0.0003100834437645972,0.014458303339779377
23,0.009942968375980854,0.07544153928756714,0.0003839775163214654,0.01492246426641941
24,0.00777265103533864,0.06821218878030777,0.0004845156508963555,0.017439672723412514
25,0.007297049276530743,0.06521684676408768,0.0027247436810284853,0.05006678029894829
