,accuracy,loss,val_accuracy,val_loss
0,0.4947512447834015,0.7365363240242004,0.47445255517959595,0.7101952433586121
1,0.5093564391136169,0.7297025322914124,0.49635037779808044,0.6984205842018127
2,0.49931538105010986,0.7181616425514221,0.5218977928161621,0.6906561851501465
3,0.5180283188819885,0.7155749201774597,0.49635037779808044,0.7178885340690613
4,0.4828845262527466,0.73441082239151,0.5054744482040405,0.6991149187088013
5,0.504792332649231,0.7173919677734375,0.5127737522125244,0.6927564740180969
6,0.5043359398841858,0.7135424017906189,0.5054744482040405,0.6954957842826843
7,0.4979461431503296,0.7206849455833435,0.4781021773815155,0.705669641494751
8,0.5061615705490112,0.719748854637146,0.5328466892242432,0.689695417881012
9,0.515289843082428,0.7131480574607849,0.514598548412323,0.6931625604629517
10,0.5093564391136169,0.7087519764900208,0.5383211970329285,0.6901255249977112
11,0.5125513672828674,0.7097721099853516,0.5072992444038391,0.7020666003227234
12,0.5189411044120789,0.7203873991966248,0.5200729966163635,0.6914777755737305
13,0.5157462358474731,0.7076345086097717,0.540145993232727,0.6902620792388916
14,0.5143769979476929,0.7126714587211609,0.5200729966163635,0.7170447111129761
15,0.5189411044120789,0.7122817635536194,0.5492700934410095,0.6876072287559509
16,0.5175718665122986,0.7070727944374084,0.5510948896408081,0.6873528361320496
17,0.5262437462806702,0.7080847024917603,0.55474454164505,0.6895079612731934
18,0.49612048268318176,0.719458818435669,0.5346715450286865,0.6903789043426514
19,0.5157462358474731,0.7163898348808289,0.5218977928161621,0.6929675340652466
20,0.5130077600479126,0.7172142267227173,0.514598548412323,0.6945511102676392
21,0.514833390712738,0.7139114737510681,0.5310218930244446,0.6889779567718506
22,0.5143769979476929,0.7066164016723633,0.5237226486206055,0.6934483647346497
23,0.5203103423118591,0.7098884582519531,0.5273722410202026,0.6894862651824951
24,0.4997718036174774,0.7170203328132629,0.5346715450286865,0.6889668107032776
25,0.5061615705490112,0.7095730304718018,0.5383211970329285,0.6878934502601624
26,0.5098128914833069,0.7105793952941895,0.5237226486206055,0.6924566030502319
